CstiCheatMode.Cards,Cards,卡牌
CstiCheatMode.Undo,Undo last operation,撤销上一步操作
CstiCheatMode.Search,Search,搜索
CstiCheatMode.Give,Give,获取
CstiCheatMode.Give5,Give 5,获取5次
CstiCheatMode.Give10,Give 10,获取10次
CstiCheatMode.Give20,Give 20,获取20次
CstiCheatMode.Unlock,Unlock,解锁
CstiCheatMode.Complete,Give and complete,获取并完成
CstiCheatMode.FPSCounter,FPS Counter,显示FPS
CstiCheatMode.TrashAll,All cards can be trashed,可丢弃任何卡牌
CstiCheatMode.FastExploration,Fast exploration,快速探索
CstiCheatMode.EncounterInvincible,Be invincible in all encounters,新版战斗无敌
CstiCheatMode.Suns,Suns,太阳
CstiCheatMode.Moons,Moons,月亮
CstiCheatMode.SetTimeTitle,Set time to:,设置时间为:
CstiCheatMode.Days,Days:,天数:
CstiCheatMode.Ticks,Tick,游戏刻
CstiCheatMode.SetTime,Set time!,设置时间